embedding,n_neighbors,min_cluster_size,min_samples,topics_num,not_found,support,c_v,u_mass,c_uci,c_npmi,c_su,c_cu
sbert-default,50,100,10,6,124,58449,0.6615709913638215,-0.024268785915407914,-0.7373921465119315,0.09559862898342361,0.9956385837405844,0.9952438112137502
sbert-default,50,100,50,6,167,58443,0.6320196266684498,-0.022703361055028935,-1.1899546125335794,0.07353839023432604,0.9958223088706308,0.9952854150574448
sbert-default,50,100,100,6,219,58436,0.7000505351851387,-0.02424441904726719,-0.47928979764266505,0.10638355769605864,0.996019931680717,0.9953061607944383
sbert-default,50,200,1,5,136,58367,0.648699481393733,1.0000889005818412e-12,-0.6165803145119071,0.11138844491579136,0.9959492049792762,0.9954919073475649
sbert-default,50,200,20,5,153,58367,0.7216909136632025,1.0000889005818412e-12,1.1658290050462663,0.1886436215837428,0.9960220094594736,0.9954953858141177
sbert-default,50,200,100,5,175,58366,0.7493389780460067,1.0000889005818412e-12,0.6406847301454908,0.17173394040290169,0.9961156262508484,0.9955161786293212
sbert-default,50,200,200,5,244,58348,0.8361618476915219,1.0000889005818412e-12,1.8687865291291006,0.22937369594213025,0.9963687510662225,0.9955334469683793
sbert-lexrank-weighted,5,10,10,2215,155735,None,None,None,None,None,0.4958449598219051,0.5694488560564122
sbert-lexrank-weighted,5,20,10,1169,145094,None,None,None,None,None,0.48518595572307954,0.5409709803643832
sbert-lexrank-weighted,5,20,20,881,145665,93100,0.4583847460544644,-1.36707805017108,-2.2039340794885844,0.006418850861363371,0.4951165501165501,0.5507016357044977
sbert-lexrank-weighted,5,50,10,512,134962,84702,0.43103509340679586,-1.186536371666404,-2.4755164917026176,-0.0009259043121284978,0.4973283462463265,0.5266948969450805
sbert-lexrank-weighted,5,50,25,396,134052,77868,0.43091948556841175,-1.1212081257702091,-2.546082374380557,-0.0009596277033063856,0.5092726349900442,0.5356189667974965
sbert-lexrank-weighted,5,50,50,320,137559,73008,0.43413306707474786,-1.0779079093106634,-2.4819651353038763,0.0011990471601147762,0.502727646012162,0.5402638372292489
