embedding,n_neighbors,min_cluster_size,min_samples,topics_num,not_found,support,c_v,u_mass,c_su,c_cu
sbert-lexrank-top5,15,10,10,1132,180465,None,None,None,0.3914403903266865,0.5971069299710863
sbert-lexrank-top5,15,20,10,696,173951,85494,0.47355259111299514,-1.3685304630727986,0.4373983739837398,0.5945353155129123
sbert-lexrank-top5,15,20,20,563,166568,80180,0.4687949851999536,-1.313847465434964,0.4151898030385166,0.5638593195135411
sbert-lexrank-top5,15,50,10,365,157272,75100,0.43526580423804556,-1.1270792241949115,0.4445290081097941,0.5515125890535484
sbert-lexrank-top5,15,50,25,323,156678,72014,0.42665071331496535,-1.1124360642526807,0.42612241907715603,0.5417682092724709
sbert-lexrank-top5,15,50,50,245,141331,67734,0.427330222042724,-0.9942273205187511,0.43086577973066437,0.5044865027899261
sbert-lexrank-top5,15,100,1,295,146673,70171,0.4106550782106335,-1.0714197056668417,0.3969186143274923,0.5024056866430013
sbert-lexrank-top5,15,100,10,206,141583,65301,0.4241148790286315,-0.9381344216429386,0.45642539122321274,0.5212094371863916
sbert-lexrank-top5,15,100,50,182,134081,64055,0.40303488196246107,-0.907015889181539,0.4532794249775382,0.501081002270313
sbert-lexrank-top5,15,100,100,149,123281,62508,0.4148299641049378,-0.8440576564438321,0.4322701688555347,0.46967809016116124
sbert-lexrank-top5,20,10,10,1019,174684,None,None,None,0.40310189649630346,0.5824065826865166
sbert-lexrank-top5,20,20,10,640,171719,82301,0.46701640419390744,-1.3478332453446105,0.3987791242331752,0.5714979538226984
sbert-lexrank-top5,20,20,20,495,167793,76678,0.46123061390201364,-1.261960639565789,0.407143253593828,0.5629589931250472
sbert-lexrank-top5,20,50,10,330,158205,72798,0.43288961310572893,-1.1224095749471654,0.4168220117813735,0.5415481699621372
sbert-lexrank-top5,20,50,25,282,143166,69830,0.4273495494734975,-1.0255878697809826,0.43295504458767886,0.5138822961167878
sbert-lexrank-top5,20,50,50,227,127898,66888,0.44358104362962697,-0.9352855642283934,0.4439227319402147,0.48536485157349113
